Average of vanilla samples
-----------------------------------------------------------------------------------------------------------------------
| deepresonance:resonating_ore           | Resonating Ore      | 2.26186    |
| immersiveengineering:ore               | Copper Ore          | 28.20163   |
| immersiveengineering:ore               | Bauxite Ore         | 5.91096    |
| immersiveengineering:ore               | Lead Ore            | 12.34002   |
| immersiveengineering:ore               | Silver Ore          | 11.56984   |
| immersiveengineering:ore               | Nickel Ore          | 3.61154    |
| immersiveengineering:ore               | Uranium Ore         | 1.3261     |
| minecraft:coal_ore                     | Coal Ore            | 19.12964   |
| minecraft:diamond_ore                  | Diamond Ore         | 0.522      |
| minecraft:emerald_ore                  | Emerald Ore         | 9.86832    |
| minecraft:gold_ore                     | Gold Ore            | 67.96188   |
| minecraft:iron_ore                     | Iron Ore            | 24.09468   |
| minecraft:lapis_ore                    | Lapis Lazuli Ore    | 0.02262    |
| minecraft:redstone_ore                 | Redstone Ore        | 56.67504   |
| primal:ore_zinc                        | Carbonate Zinc Ore  | 0.95634    |
| thermalfoundation:ore                  | Tin Ore             | 25.45326   |
-----------------------------------------------------------------------------------------------------------------------

| minecraft:redstone_ore                 |   73 |    0 | Redstone Ore                         |        58 | 0.0056
| primal:ore_zinc                        | 2145 |    0 | Carbonate Zinc Ore                   |      6726 | 0.6593
| thermalfoundation:ore                  |  403 |    6 | Platinum Ore                         |   1862741 | 182.6037    *
| thermalfoundation:ore                  |  403 |    7 | Iridium Ore                          |    861247 | 84.4277

v1.3
| deepresonance:resonating_ore            | 1552 |    0 | Resonating Ore                  |     23856 | 2.3385
| immersiveengineering:ore                              | Copper Ore                      |         0 | 0.0             *
| immersiveengineering:ore                | 1798 |    4 | Nickel Ore                      |     64356 | 6.3087
| minecraft:coal_ore                      |   16 |    0 | Coal Ore                        |    352926 | 34.5971         *
| minecraft:diamond_ore                   |   56 |    0 | Diamond Ore                     |     31060 | 3.0447          *
| minecraft:emerald_ore                   |  129 |    0 | Emerald Ore                     |      7165 | 0.7023          *
| minecraft:gold_ore                      |   14 |    0 | Gold Ore                        |       736 | 0.0721
| minecraft:iron_ore                      |   15 |    0 | Iron Ore                        |    269895 | 26.4577         *
| minecraft:redstone_ore                  |   73 |    0 | Redstone Ore                    |        99 | 0.0097
| primal:ore_zinc                         | 2135 |    0 | Carbonate Zinc Ore              |      7791 | 0.7637
| thermalfoundation:ore                   |  403 |    6 | Platinum Ore                    |   1783673 | 174.8527        *

v1.2
| deepresonance:resonating_ore            | 1552 |    0 | Resonating Ore                       |     24245 | 2.3767
| immersiveengineering:ore                | 1798 |    4 | Nickel Ore                           |     72741 | 7.1307
| minecraft:coal_ore                      |   16 |    0 | Coal Ore                             |    424263 | 41.5903    *
| minecraft:diamond_ore                   |   56 |    0 | Diamond Ore                          |     44606 | 4.3727     *
| minecraft:emerald_ore                   |  129 |    0 | Emerald Ore                          |      3697 | 0.3624     *
